epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.82276,0.57227,0.61818,1,0.7641,1.428e-05,1.428e-05,1.428e-05
2,4.1295,0.56101,0.56364,1,0.69527,3.39329e-05,3.39329e-05,3.39329e-05
3,5.88289,0.54393,0.63636,1,0.66504,5.14651e-05,5.14651e-05,5.14651e-05
4,7.57344,0.53845,0.63636,1,0.64042,6.68768e-05,6.68768e-05,6.68768e-05
5,9.22689,0.51578,0.70909,1,0.6518,8.01679e-05,8.01679e-05,8.01679e-05
6,10.8898,0.50394,0.74545,1,0.67226,9.13384e-05,9.13384e-05,9.13384e-05
7,12.4963,0.40609,0.78182,1,0.64994,0.000100388,0.000100388,0.000100388
8,14.131,0.50005,0.78182,1,0.64007,0.000107318,0.000107318,0.000107318
9,15.81,0.42516,0.76364,1,0.61649,0.000112127,0.000112127,0.000112127
10,17.401,0.39578,0.76364,1,0.64987,0.000114815,0.000114815,0.000114815
11,18.9893,0.41316,0.76364,1,0.6799,0.000115382,0.000115382,0.000115382
12,20.6113,0.33957,0.74545,1,0.67358,0.000113829,0.000113829,0.000113829
13,22.2388,0.31926,0.72727,1,0.65175,0.000110156,0.000110156,0.000110156
14,23.9404,0.31106,0.70909,1,0.68307,0.000104362,0.000104362,0.000104362
15,25.605,0.34245,0.72727,1,0.67719,9.64471e-05,9.64471e-05,9.64471e-05
16,27.2329,0.28494,0.76364,1,0.63434,8.64119e-05,8.64119e-05,8.64119e-05
17,28.9133,0.32322,0.78182,1,0.67603,7.4256e-05,7.4256e-05,7.4256e-05
18,30.5345,0.24666,0.78182,1,0.64997,5.99796e-05,5.99796e-05,5.99796e-05
19,32.1322,0.25435,0.74545,1,0.6743,4.35826e-05,4.35826e-05,4.35826e-05
20,33.8244,0.32295,0.76364,1,0.6889,2.5065e-05,2.5065e-05,2.5065e-05
